bairro,area_m2,quartos,banheiros,garagens,ano_construcao,distancia_centro_km,preco
Centro,120,3,2,2,2015,0.5,450000
Jardins,150,4,3,2,2018,2.0,580000
Vila Nova,85,2,1,1,2020,4.5,320000
Centro,95,2,2,1,2012,0.8,380000
Praia,200,5,4,3,2019,8.0,750000
Jardins,130,3,2,2,2017,2.5,520000
Vila Nova,75,2,1,1,2021,5.0,290000
Industrial,60,1,1,0,2010,6.0,180000
Centro,110,3,2,1,2016,1.0,420000
Praia,180,4,3,2,2020,7.5,680000
Jardins,140,3,3,2,2019,2.2,550000
Vila Nova,90,2,2,1,2018,4.8,340000
Centro,100,2,2,2,2014,0.7,410000
Industrial,65,1,1,1,2015,5.5,195000
Praia,220,5,4,3,2021,8.2,820000
Jardins,125,3,2,2,2016,2.8,495000
Vila Nova,80,2,1,1,2019,4.2,310000
Centro,135,4,3,2,2013,0.9,465000
Industrial,70,2,1,1,2017,6.2,210000
Praia,195,4,3,3,2018,7.8,710000
Jardins,160,4,3,2,2020,2.3,610000
Vila Nova,88,2,2,1,2021,4.6,335000
Centro,115,3,2,2,2015,0.6,440000
Industrial,55,1,1,0,2011,5.8,175000
Praia,210,5,4,3,2019,8.5,780000
Jardins,145,3,2,2,2018,2.6,565000
Vila Nova,78,2,1,1,2020,5.2,305000
Centro,105,2,2,1,2016,0.8,425000
Industrial,68,2,1,1,2014,6.0,205000
Praia,190,4,3,2,2021,7.6,695000
Jardins,135,3,3,2,2017,2.4,540000
Vila Nova,92,2,2,1,2019,4.4,345000
Centro,125,3,2,2,2014,0.7,455000
Industrial,62,1,1,0,2012,5.7,185000
Praia,205,5,4,3,2020,8.3,760000
Jardins,128,3,2,2,2019,2.7,505000
Vila Nova,82,2,1,1,2021,4.9,315000
Centro,98,2,2,1,2015,0.9,395000
Industrial,72,2,1,1,2016,6.1,215000
Praia,185,4,3,3,2019,7.7,685000
Jardins,155,4,3,2,2021,2.5,595000
Vila Nova,86,2,2,1,2020,4.7,330000
Centro,118,3,2,2,2016,0.6,445000
Industrial,58,1,1,0,2013,5.9,180000
Praia,215,5,4,3,2021,8.4,795000
Jardins,142,3,2,2,2018,2.6,560000
Vila Nova,76,2,1,1,2019,5.1,300000
Centro,108,2,2,1,2017,0.8,430000
Industrial,66,2,1,1,2015,6.0,200000
Praia,192,4,3,2,2020,7.9,705000
